step	time	T	Ekin	res	lj	bond_123	bond_125_cross	bond_123_cross	bond_124_cross	angle_251_cross	angle_252_cross	angle_250_cross	dihedral_190_cross	dihedral_191_cross	lj-14_0_cross	lj-14_1_cross
0	0	0	0	0	7334.42	540.431	4847.4	0	227.47	0	9648.27	386.652	2196.81	0	0	0
100	0.1	2.29007	38644.9	0	5032.06	2722.16	4009.44	0	149.044	0	8293.96	328.972	2340.25	0	0	0
200	0.2	2.90124	48958.4	0	5702.83	4448.21	4432.58	0	192.471	0	8871.23	340.104	2338.82	0	0	0
300	0.3	3.18616	53766.4	0	5841.57	5426.66	4390.69	0	184.402	0	8794.03	345.117	2311.9	0	0	0
400	0.4	3.31932	56013.5	0	6167.42	5982.72	4415.47	0	166.1	0	8869.31	387.309	2294.6	0	0	0
500	0.5	3.44735	58174.1	0	6192.26	5995.57	4753.52	0	224.96	0	8995.83	408.284	2326.34	0	0	0
600	0.6	3.43312	57933.9	0	6441.6	6365.78	4586.35	0	252.326	0	9128.75	373.224	2354.48	0	0	0
700	0.7	3.46713	58507.8	0	6467.42	6334.64	4978.57	0	194.342	0	9205.88	372.683	2315.37	0	0	0
800	0.8	3.47682	58671.3	0	6654.44	6350.6	4709.78	0	244.408	0	9206.25	354.906	2351.95	0	0	0
900	0.9	3.47847	58699.1	0	6643.32	6504.6	4867.36	0	233.658	0	9259.63	397.852	2320.45	0	0	0
1000	1	3.52917	59554.8	0	6647.09	6749.43	4809.23	0	228.807	0	9150.25	406.848	2333.65	0	0	0
1100	1.1	3.47768	58685.9	0	6653.89	6616.46	4896.85	0	234.769	0	9177.11	376.135	2273.82	0	0	0
1200	1.2	3.52376	59463.4	0	6769.22	6363.9	4764.53	0	205.366	0	9197.72	344.852	2351.31	0	0	0
1300	1.3	3.50371	59125.1	0	6649.13	6496.76	4658.91	0	213.264	0	9218.02	355.149	2316.16	0	0	0
1400	1.4	3.49476	58974.1	0	6645.67	6494.4	4613.06	0	217.352	0	9192	362.79	2317.57	0	0	0
1500	1.5	3.4583	58358.9	0	6558.41	6396.49	5001.28	0	230.418	0	9183.44	391.561	2288.64	0	0	0
1600	1.6	3.55017	59909.1	0	6675.01	6650.17	4574.3	0	237.094	0	9322	338.084	2303.87	0	0	0
1700	1.7	3.52696	59517.4	0	6675.54	6617.8	4640.03	0	261.331	0	9134.96	365.225	2372.7	0	0	0
1800	1.8	3.51906	59384.1	0	6766.64	6671.55	4685.41	0	192.753	0	9123.33	402.032	2307.78	0	0	0
1900	1.9	3.54952	59898.2	0	6814.86	6846.83	4937.96	0	239.779	0	9198.68	399.274	2340.1	0	0	0
2000	2	3.57063	60254.3	0	6793.28	6577.13	4928.86	0	244.761	0	9166.09	370.688	2295.38	0	0	0
2100	2.1	3.52575	59497.1	0	6765.44	6493.19	5140.7	0	178.475	0	9099.87	365.367	2337.19	0	0	0
2200	2.2	3.52915	59554.3	0	6946.76	6596.82	4836.63	0	235.796	0	9204.72	386.11	2338.74	0	0	0
2300	2.3	3.53762	59697.3	0	6612.4	6523.73	4686.25	0	189.906	0	9252.68	395.831	2286.18	0	0	0
2400	2.4	3.53013	59570.9	0	6670.39	6470.29	4746.26	0	144.155	0	9193.38	408.117	2282.27	0	0	0
2500	2.5	3.56158	60101.6	0	6745.87	6456.85	4971.2	0	215.157	0	9225.92	396.044	2325.2	0	0	0
2600	2.6	3.51945	59390.7	0	6784.51	6765.68	4869.51	0	204.885	0	9204.74	350.577	2332.33	0	0	0
2700	2.7	3.56751	60201.8	0	6953.77	6791.64	4865.54	0	220.893	0	9230.61	370.593	2286.63	0	0	0
2800	2.8	3.53607	59671.3	0	6837.5	6549.04	4888.63	0	250.27	0	9196.83	384.801	2356.11	0	0	0
2900	2.9	3.53526	59657.5	0	6865.33	6463.19	5107.8	0	213.101	0	9282.16	417.198	2340.56	0	0	0
3000	3	3.53058	59578.6	0	6897.27	6703.55	4957.77	0	237.411	0	9262.36	399.631	2340.05	0	0	0
3100	3.1	3.55138	59929.5	0	6734.69	6580.53	4953.59	0	207.659	0	9253.68	377.266	2358.02	0	0	0
3200	3.2	3.54518	59825	0	6914.76	6582.43	4881.61	0	208.324	0	9326.96	367.96	2343.79	0	0	0
3300	3.3	3.58761	60540.9	0	6597.4	6494.04	4892.62	0	234.717	0	9340.22	364.68	2356.8	0	0	0
3400	3.4	3.54618	59841.7	0	6608.81	6639.14	5013.74	0	161.031	0	9543.25	380.246	2325.31	0	0	0
3500	3.5	3.53868	59715.3	0	6812.27	6642.6	4976.83	0	182.168	0	9287.59	364.84	2322.08	0	0	0
3600	3.6	3.54913	59891.6	0	6847.81	6626.44	4875.74	0	167.711	0	9188.68	361.321	2336.96	0	0	0
3700	3.7	3.53178	59598.8	0	6592.37	6539.02	4819.1	0	236.263	0	9254.15	361.26	2331.78	0	0	0
3800	3.8	3.56327	60130.2	0	6589.18	6468.58	4659.32	0	251.721	0	9315.94	360.915	2303.26	0	0	0
3900	3.9	3.52038	59406.4	0	6904.45	6693.01	4720.34	0	214.176	0	9294.16	377.64	2354.74	0	0	0
4000	4	3.54697	59855.1	0	7004.01	6566.21	4889.54	0	179.296	0	9104.72	378.165	2318.37	0	0	0
4100	4.1	3.61259	60962.5	0	6849.38	6525.31	4877.15	0	215.353	0	9139.36	375.222	2297.84	0	0	0
4200	4.2	3.57108	60262	0	6745.98	6696.9	4558.49	0	188.357	0	9150.72	412.495	2329.52	0	0	0
4300	4.3	3.52309	59452.1	0	6755.24	6759.63	4920.9	0	219.843	0	9262.24	418.204	2324.05	0	0	0
4400	4.4	3.55088	59921	0	6688.59	6786.62	4768.65	0	231.098	0	9205.11	468.198	2296.33	0	0	0
4500	4.5	3.59584	60679.8	0	6687.03	6555.08	4815.32	0	231.814	0	9211.87	427.222	2315.36	0	0	0
4600	4.6	3.55581	60004.4	0	6747.76	6479.99	5047.97	0	201.098	0	9147.79	373.559	2337.04	0	0	0
4700	4.7	3.49684	59009.2	0	6763.29	6814.17	4898.14	0	221.197	0	9085.96	394.258	2350.76	0	0	0
4800	4.8	3.52483	59481.5	0	6717.78	6870.26	4728.43	0	252.567	0	9099.98	397.036	2335.76	0	0	0
4900	4.9	3.52619	59504.4	0	6933.55	6893.86	4941.09	0	247.531	0	9127.34	437.459	2278.54	0	0	0
5000	5	3.50119	59082.7	0	6928.28	6846.25	4924.7	0	210.279	0	9172.83	417.956	2348.8	0	0	0
5100	5.1	3.59466	60659.8	0	6834.05	6704.46	4814.57	0	257.603	0	9139.29	399.623	2306.62	0	0	0
5200	5.2	3.57226	60281.9	0	6713.53	6527.49	4824.94	0	213.975	0	9138.08	396.921	2347.69	0	0	0
5300	5.3	3.48392	58791.2	0	6844.1	6743.4	4957.28	0	215.385	0	9223.05	400.972	2318.18	0	0	0
5400	5.4	3.52192	59432.4	0	6781.6	6703.02	4755.78	0	180.504	0	9184.5	388.455	2274.7	0	0	0
5500	5.5	3.55357	59966.5	0	6938.71	6781.3	5040.81	0	192.573	0	9210.69	364.607	2346.62	0	0	0
5600	5.6	3.58181	60443.1	0	6680.94	6950.87	4838.13	0	211.614	0	9098.39	382.064	2304.9	0	0	0
5700	5.7	3.53637	59676.3	0	6584.7	7162.2	4877.63	0	274.556	0	9186.32	374.728	2308.59	0	0	0
5800	5.8	3.52433	59473.1	0	6779.51	6856.86	4915.24	0	247.768	0	9181.11	384.407	2360.32	0	0	0
5900	5.9	3.54564	59832.6	0	6600.58	6814.55	4835.56	0	165.866	0	9186.22	416.642	2352.79	0	0	0
6000	6	3.51391	59297.2	0	6679.44	6790.27	4738.62	0	244.132	0	9189.98	400.362	2357.19	0	0	0
6100	6.1	3.5067	59175.6	0	6796.68	6608.63	4775.46	0	217.484	0	9096.71	394.899	2312.86	0	0	0
6200	6.2	3.55381	59970.6	0	6514.71	6426.82	4896.7	0	188.599	0	9255.23	401.138	2355.33	0	0	0
6300	6.3	3.57272	60289.6	0	6766.05	6337.77	4758.83	0	182.257	0	9080.93	398.992	2327.53	0	0	0
6400	6.4	3.57163	60271.3	0	6742.62	6512.78	4896.1	0	176.605	0	9102.59	414.944	2346.07	0	0	0
6500	6.5	3.51487	59313.4	0	6779.36	6648.19	4915.83	0	225.805	0	9184.3	395.714	2316.81	0	0	0
6600	6.6	3.50081	59076.2	0	6723.66	6817.73	4841.35	0	247.863	0	9142.7	357.995	2306.42	0	0	0
6700	6.7	3.50463	59140.6	0	6644.52	6803.22	5187.31	0	230.305	0	9176.96	393.768	2321.99	0	0	0
6800	6.8	3.5093	59219.5	0	6656.05	6609.17	4882.71	0	208.403	0	9104.39	432.397	2320.92	0	0	0
6900	6.9	3.53495	59652.3	0	6790.2	6859.65	4677.58	0	217.552	0	9084.77	405.267	2311.68	0	0	0
7000	7	3.55838	60047.6	0	6738.12	6956.69	4889.17	0	224.714	0	9230.19	381.008	2322.98	0	0	0
7100	7.1	3.58913	60566.6	0	6654.28	6827.55	4957.09	0	201.393	0	9156.33	403.804	2289.09	0	0	0
7200	7.2	3.5536	59967	0	6778.78	6793.1	4988.74	0	235.289	0	9248.68	386.575	2313.41	0	0	0
7300	7.3	3.57187	60275.4	0	6897.59	6848.68	4787.18	0	226.172	0	9166.53	373.872	2366.11	0	0	0
7400	7.4	3.5661	60177.9	0	6552.42	6978.04	5119.1	0	217.162	0	9137.89	402.826	2331.17	0	0	0
7500	7.5	3.58119	60432.5	0	6632.38	6645.96	4963.76	0	234.043	0	9158.07	412.606	2319.37	0	0	0
7600	7.6	3.58044	60420	0	6826.95	6800.1	4892.23	0	228.034	0	9025.24	375.602	2323.85	0	0	0
7700	7.7	3.54179	59767.6	0	6943.98	6859.03	4793.79	0	259.181	0	9089.47	386.593	2345.83	0	0	0
7800	7.8	3.59771	60711.4	0	6880.24	6692.6	4578.94	0	206.364	0	9160.35	376.908	2302.7	0	0	0
7900	7.9	3.61484	61000.4	0	6534.63	6628.06	5002.99	0	183.938	0	9277.33	362.184	2316.75	0	0	0
8000	8	3.59632	60687.9	0	6622.71	6624.1	4780.14	0	217.544	0	9076.46	372.85	2308.46	0	0	0
8100	8.1	3.5448	59818.5	0	6748.2	6504.79	4873.36	0	223.893	0	9059.72	379.524	2353.07	0	0	0
8200	8.2	3.55642	60014.6	0	6798.41	6597.53	4861	0	238.858	0	9112.33	410.693	2333.53	0	0	0
8300	8.3	3.49515	58980.7	0	6756.86	6708.73	4564.99	0	255.775	0	9111.47	379.193	2328.41	0	0	0
8400	8.4	3.54477	59818	0	6599.62	6597.66	4809.42	0	205.857	0	9086.56	344.488	2312.41	0	0	0
8500	8.5	3.51916	59385.8	0	6408.63	6469.68	5008.01	0	197.29	0	9144.26	342.81	2313.98	0	0	0
8600	8.6	3.57981	60409.3	0	6337.41	6605.34	4715.48	0	215.92	0	9082.01	368.687	2312.96	0	0	0
8700	8.7	3.55983	60072.1	0	6352.47	6737.43	5073.38	0	222.798	0	9129.25	399.082	2318.21	0	0	0
8800	8.8	3.49745	59019.5	0	6441.4	6977.39	4785.53	0	227.978	0	8971.79	394.096	2337.7	0	0	0
8900	8.9	3.557	60024.4	0	6617.64	6847.2	4728.81	0	211.414	0	9010.22	398.542	2279.57	0	0	0
9000	9	3.54673	59851	0	6576.11	6866.2	4853.8	0	308.978	0	9126.27	398.267	2359.03	0	0	0
9100	9.1	3.55139	59929.6	0	6718.34	6753.35	4932.84	0	235.725	0	9148.97	395.318	2311.88	0	0	0
9200	9.2	3.56221	60112.2	0	6752.95	6746.26	4912.63	0	176.026	0	9134.64	421.884	2354.12	0	0	0
9300	9.3	3.56217	60111.6	0	6674.54	6743.43	4823.98	0	214.477	0	8938.67	416.715	2307.5	0	0	0
9400	9.4	3.57332	60299.8	0	6577.31	6461.85	4872.16	0	205.689	0	9087.24	418.233	2313.25	0	0	0
9500	9.5	3.54875	59885.2	0	6702.09	6802.81	4817.63	0	181.541	0	9030.34	382.26	2398.51	0	0	0
9600	9.6	3.60007	60751.2	0	6509.02	6690.32	4736.99	0	176.894	0	9111.16	376.653	2353.21	0	0	0
9700	9.7	3.53821	59707.3	0	6403.23	6862.72	4694.12	0	194.244	0	9068.24	377.683	2263.89	0	0	0
9800	9.8	3.58097	60428.9	0	6529.45	6843.26	4791.29	0	264.744	0	8973.11	356.567	2312.88	0	0	0
9900	9.9	3.59695	60698.6	0	6497.04	6531.77	4692.11	0	205.277	0	8984.3	385.901	2384.12	0	0	0
10000	10	3.58751	60539.3	0	6593.32	6696.39	4722.04	0	224.64	0	8898.92	402.804	2329.79	0	0	0
10100	10.1	3.54381	59801.8	0	6696.65	6626.97	4962.74	0	209.001	0	8853.69	394.43	2323.93	0	0	0
10200	10.2	3.52176	59429.6	0	6753.49	6642.95	5007.16	0	244.952	0	8904.13	377.078	2330.01	0	0	0
10300	10.3	3.52321	59454.1	0	6879.5	6704.88	4904.21	0	251.584	0	9016.8	351.384	2276.55	0	0	0
10400	10.4	3.56034	60080.7	0	6797.19	6431.38	5148.42	0	202.136	0	9175.29	389.141	2331.78	0	0	0
10500	10.5	3.58585	60511.3	0	6863.34	6463.52	5212.44	0	209.716	0	9201.78	367.191	2313.75	0	0	0
10600	10.6	3.57347	60302.3	0	6787.46	6758.11	5160.6	0	215.009	0	9181.54	401.702	2337.59	0	0	0
10700	10.7	3.55727	60028.9	0	6761.67	6699.13	4984.28	0	217.743	0	9066.48	396.836	2350.24	0	0	0
10800	10.8	3.50707	59181.8	0	6954.28	6873.6	4984.59	0	236.358	0	9136.93	382.165	2363.55	0	0	0
10900	10.9	3.52888	59549.9	0	6859.48	6376.73	4949.05	0	204.141	0	9039.33	369.911	2337.24	0	0	0
11000	11	3.49617	58997.9	0	6953.26	6520.54	4755.25	0	203.781	0	9082.37	396.032	2327.53	0	0	0
11100	11.1	3.48571	58821.4	0	6773.11	6809.68	4739.71	0	191.514	0	9048.32	402.495	2360.71	0	0	0
11200	11.2	3.51338	59288.3	0	6907.37	6444.47	4879.89	0	219.087	0	9125.6	407.662	2370.59	0	0	0
11300	11.3	3.52128	59421.5	0	6772.01	6545.75	4891.55	0	225.266	0	9142.75	384.483	2337.92	0	0	0
11400	11.4	3.5335	59627.8	0	6869.7	6621.69	4885.53	0	249.921	0	9128.05	360.961	2309.42	0	0	0
11500	11.5	3.51682	59346.4	0	6841.36	6682.27	5053.3	0	218.371	0	9127.37	382.809	2305.2	0	0	0
11600	11.6	3.53762	59697.4	0	6764.32	6689.07	5023.94	0	252.699	0	9070.1	387.397	2313.08	0	0	0
11700	11.7	3.56597	60175.8	0	6760.82	6816.02	5007.78	0	234.87	0	9162.62	385.508	2368.85	0	0	0
11800	11.8	3.53209	59604.1	0	6689.79	6966.1	5110.27	0	227.613	0	9168.59	403.732	2315.94	0	0	0
11900	11.9	3.59182	60611.9	0	6602.25	6929.66	4920.81	0	237.725	0	9241.28	407.528	2328.13	0	0	0
12000	12	3.56205	60109.7	0	6697.3	7036.47	4952.66	0	219.095	0	9351.32	387.608	2330.06	0	0	0
12100	12.1	3.60573	60846.7	0	6704.15	6832.9	4702.32	0	251.864	0	9079.92	424.157	2373.73	0	0	0
12200	12.2	3.53196	59601.8	0	6891.87	6823.97	4806.97	0	252.595	0	9249.72	427.055	2347.48	0	0	0
12300	12.3	3.57936	60401.6	0	6576.81	6593.1	4887.21	0	212.98	0	9208.44	401.752	2304.24	0	0	0
12400	12.4	3.60199	60783.5	0	6779.03	6748.57	4975.58	0	263.25	0	9323.47	367.761	2319.81	0	0	0
12500	12.5	3.59034	60587.1	0	6591.45	6760.46	4939.76	0	231.167	0	9201.36	354.132	2297.99	0	0	0
12600	12.6	3.54543	59829.1	0	6591.48	6765.97	4941.81	0	225.01	0	9222	365.928	2282.52	0	0	0
12700	12.7	3.53884	59718	0	6621.75	6666.22	4471.27	0	239.778	0	9067.14	391.6	2345.55	0	0	0
12800	12.8	3.54255	59780.5	0	6669.66	6477.97	4893.43	0	237.108	0	9208.26	404.181	2335.9	0	0	0
12900	12.9	3.53586	59667.6	0	6733.53	6745.05	4784.5	0	198.379	0	9049.23	423.092	2322.75	0	0	0
13000	13	3.5581	60043	0	6860.72	6596.07	4625.98	0	202.362	0	9131.26	400.742	2406.48	0	0	0
13100	13.1	3.4818	58755.3	0	6976.11	6577.22	4950.67	0	227.149	0	9197.64	392.582	2329.92	0	0	0
13200	13.2	3.50102	59079.8	0	6726.73	6591.97	5048.33	0	226.085	0	9113.34	388.107	2326.77	0	0	0
13300	13.3	3.4778	58687.9	0	6558.15	6547.03	4873.47	0	210.146	0	9186.1	396.478	2370.63	0	0	0
13400	13.4	3.48657	58835.8	0	6671.82	6545.94	4826.06	0	195.391	0	9144.38	387.073	2314.79	0	0	0
13500	13.5	3.51669	59344.2	0	6597.45	6574.61	4999.26	0	206.109	0	9093.99	393.818	2343.69	0	0	0
13600	13.6	3.50379	59126.5	0	6705.72	6650.19	5073.39	0	224.722	0	9059.98	409.367	2317.32	0	0	0
13700	13.7	3.5666	60186.3	0	6593.08	6688.72	5036.83	0	223.111	0	9064.82	406.247	2262.25	0	0	0
13800	13.8	3.58584	60511	0	6587.11	6733.74	4900.68	0	277.252	0	9129.84	381.713	2308.82	0	0	0
13900	13.9	3.56563	60170.1	0	6534.47	6703.9	4988.81	0	220.746	0	9287.31	375.214	2324.58	0	0	0
