step	time	T	Ekin	res	lj	bond_123	bond_125_cross	bond_123_cross	bond_124_cross	angle_251_cross	angle_252_cross	angle_250_cross	dihedral_190_cross	dihedral_191_cross	lj-14_0_cross	lj-14_1_cross
0	0	0	0	0	6996.45	528.961	4655.66	0	205.772	0	9102.51	397.368	2324.64	0	0	0
100	0.1	2.24724	37922.1	0	4914.39	2782.13	3738.8	0	163.136	0	8180.75	359.89	2315.8	0	0	0
200	0.2	2.86947	48422.4	0	5678.43	4164.75	4229.58	0	152.543	0	8762.83	337.944	2336.67	0	0	0
300	0.3	3.22767	54466.9	0	5853.34	5028.6	4396.1	0	174.071	0	8618.02	369.061	2317.21	0	0	0
400	0.4	3.31962	56018.5	0	6250.14	5784.3	4691.86	0	189.479	0	8713.27	412.426	2310.33	0	0	0
500	0.5	3.39319	57260.1	0	6509.75	6205.89	4775.07	0	243.091	0	8846.47	419.645	2310.06	0	0	0
600	0.6	3.48957	58886.6	0	6361.12	6519.2	4665.61	0	267.642	0	8852.26	384.007	2352.52	0	0	0
700	0.7	3.52278	59446.8	0	6499.59	6560.94	4672.46	0	213.081	0	8903.57	373.405	2321.07	0	0	0
800	0.8	3.53421	59639.8	0	6590.48	6386.07	5023.24	0	200.165	0	8843.93	364.749	2299	0	0	0
900	0.9	3.54576	59834.7	0	6507.93	6583.71	4842.08	0	204.248	0	9111.61	387.301	2316.6	0	0	0
1000	1	3.53294	59618.3	0	6700.03	6568.11	4806.42	0	222.661	0	8954.91	391.812	2333.61	0	0	0
1100	1.1	3.54361	59798.5	0	6637.59	6758.36	4860.26	0	236.155	0	8989.99	417.824	2328.5	0	0	0
1200	1.2	3.54075	59750.1	0	6504.49	7199.27	4777.63	0	206.375	0	9013.6	411.749	2339.74	0	0	0
1300	1.3	3.49558	58988	0	6452.55	6860.14	4679.97	0	189.786	0	8933.91	407.217	2380.53	0	0	0
1400	1.4	3.47978	58721.3	0	6457.32	6815.36	4787.06	0	189.785	0	8812.23	409.792	2324.97	0	0	0
1500	1.5	3.51712	59351.4	0	6607.77	6898.46	4788.9	0	220.224	0	9018.79	407.387	2276.16	0	0	0
1600	1.6	3.56314	60128.1	0	6731.94	6722.52	4712.9	0	257.557	0	9029.11	392.31	2342.79	0	0	0
1700	1.7	3.53076	59581.6	0	6889.78	6609.98	4867.22	0	198.982	0	9055.23	376.786	2380.46	0	0	0
1800	1.8	3.60264	60794.6	0	6769.48	6826.89	4874.38	0	186.759	0	9148.33	390.967	2344.81	0	0	0
