step	time	T	Ekin	res	lj	bond_123	bond_125_cross	bond_123_cross	bond_124_cross	angle_251_cross	angle_252_cross	angle_250_cross	dihedral_190_cross	dihedral_191_cross	lj-14_0_cross	lj-14_1_cross
0	0	0	0	0	6996.45	528.961	4655.66	0	205.772	0	9102.51	397.368	2324.64	0	0	0
100	0.1	2.29351	38702.9	0	4940.61	2811.1	3752.21	0	130.086	0	8151.33	337.253	2321.47	0	0	0
200	0.2	2.94656	49723.2	0	5646.77	4208.76	4014.48	0	169.269	0	8675.92	398.378	2336.09	0	0	0
300	0.3	3.19353	53890.9	0	5991.94	5176.71	4481.26	0	157.201	0	8672.13	425.144	2315.18	0	0	0
400	0.4	3.3204	56031.7	0	6262.7	5866.13	4566.36	0	175.239	0	8947.01	426.303	2354.71	0	0	0
500	0.5	3.39252	57248.7	0	6503.14	5942.97	4631.92	0	185.863	0	8805.52	407.077	2318.1	0	0	0
600	0.6	3.44149	58075.2	0	6813.37	6346.42	4696.95	0	223.942	0	8805.2	419.076	2287.4	0	0	0
700	0.7	3.4751	58642.2	0	6788.04	6618.26	4953.89	0	249.797	0	9042.02	367.16	2327.9	0	0	0
800	0.8	3.50747	59188.6	0	6830.12	6511.77	4781.51	0	195.501	0	9051.17	381.83	2359.73	0	0	0
900	0.9	3.51023	59235.2	0	6711.58	6422.57	4882.79	0	177.034	0	9031.79	386.668	2349.13	0	0	0
1000	1	3.48252	58767.5	0	6596.23	6455.98	4883.74	0	249.243	0	9049.62	403.857	2339.49	0	0	0
1100	1.1	3.4948	58974.8	0	6625.6	6657.7	4766.34	0	228.175	0	9048.41	403.335	2365.79	0	0	0
1200	1.2	3.54841	59879.4	0	6680.21	6714.66	4901.86	0	201.198	0	8944.12	409.802	2357.63	0	0	0
1300	1.3	3.57435	60317.2	0	6831.6	6714.42	5025.91	0	227.873	0	8871.32	375.823	2280.29	0	0	0
1400	1.4	3.56714	60195.6	0	6667.28	6626.77	4944.05	0	248.181	0	9013.43	384.777	2328.14	0	0	0
1500	1.5	3.58907	60565.6	0	6740.26	6628.91	5019.89	0	175.075	0	9024.68	390.87	2331.76	0	0	0
