step	time	T	Ekin	res	lj	bond_123	bond_125_cross	bond_123_cross	bond_124_cross	angle_251_cross	angle_252_cross	angle_250_cross	dihedral_190_cross	dihedral_191_cross	lj-14_0_cross	lj-14_1_cross
0	0	0	0	0	6996.45	528.961	4655.66	0	205.772	0	9102.51	397.368	2324.64	0	0	0
100	0.1	2.29151	38669.2	0	4951.52	2657.83	3588.22	0	140.112	0	8185.9	366.473	2289.96	0	0	0
200	0.2	2.8837	48662.4	0	5654.84	4186.88	4149.5	0	179.71	0	8667.05	369.082	2346.16	0	0	0
300	0.3	3.19022	53834.9	0	5940.94	5445.83	4286.18	0	179.85	0	8702.39	396.58	2325.65	0	0	0
400	0.4	3.36182	56730.8	0	6269.84	6151.34	4369.51	0	213.826	0	8944	419.936	2347.09	0	0	0
500	0.5	3.44928	58206.5	0	6503.04	6333.33	4599.74	0	230.43	0	8895.66	382.148	2282.29	0	0	0
600	0.6	3.51008	59232.5	0	6600.64	6730.79	4570.39	0	204.197	0	8836.55	408.404	2299.29	0	0	0
700	0.7	3.56437	60148.7	0	6494.13	6652.03	4957.71	0	182.78	0	8870.81	395.597	2330.51	0	0	0
800	0.8	3.53037	59575	0	6726.97	6537.23	4832.21	0	252.45	0	8901.98	411.782	2317.88	0	0	0
900	0.9	3.60768	60879.6	0	6876.13	6521.66	4930.63	0	220.215	0	8843.56	396.028	2334.6	0	0	0
1000	1	3.57443	60318.5	0	6651.79	6714.62	4973.12	0	208.601	0	8892.25	405.248	2264.75	0	0	0
1100	1.1	3.56543	60166.6	0	6493.97	6862.08	5027.82	0	235.094	0	9098.52	365.76	2323.66	0	0	0
1200	1.2	3.58979	60577.8	0	6733.26	6795.73	5002.29	0	254.047	0	9136.54	360.348	2323.78	0	0	0
1300	1.3	3.56891	60225.4	0	6775.57	6729.78	4932.06	0	208.708	0	9129.19	396.516	2348.36	0	0	0
1400	1.4	3.54708	59857.1	0	6721.46	6859.83	4900.51	0	214.212	0	9145.9	394.179	2352.41	0	0	0
1500	1.5	3.51203	59265.5	0	6480.73	6946.95	5037.8	0	198.522	0	9002.22	399.066	2353.91	0	0	0
1600	1.6	3.5293	59557	0	6687.53	6735.79	4871.06	0	190.535	0	9025.97	408.639	2342.51	0	0	0
1700	1.7	3.52148	59425	0	6760.13	6744.68	4850.01	0	176.566	0	9067.96	395.438	2324.33	0	0	0
1800	1.8	3.54442	59812.1	0	6650.71	6876.06	4879.57	0	199.626	0	8853.89	385.281	2317.81	0	0	0
1900	1.9	3.54676	59851.6	0	6611.05	6568.58	4800.51	0	206.491	0	8940.29	398.11	2316.99	0	0	0
2000	2	3.54177	59767.5	0	6564.58	6654.06	4656.67	0	218.717	0	8893.35	376.036	2287.76	0	0	0
2100	2.1	3.50881	59211.1	0	6544.88	6653.37	4924.57	0	211.905	0	8988.34	358.119	2317.35	0	0	0
2200	2.2	3.52946	59559.7	0	6528.06	6527.41	4938.32	0	207.146	0	8824.6	347.482	2333.22	0	0	0
2300	2.3	3.46831	58527.7	0	6481.41	6636.75	4736.71	0	199.235	0	8828.5	352.028	2391.66	0	0	0
2400	2.4	3.45912	58372.7	0	6526.73	6654.7	4672.05	0	179.366	0	8764.79	371.513	2307.15	0	0	0
2500	2.5	3.4759	58655.8	0	6776.54	6678.29	4870.94	0	228.84	0	8965.71	374.121	2261.42	0	0	0
2600	2.6	3.50762	59191	0	6654.19	6703.45	4581.22	0	180.732	0	8754.95	356.59	2243.48	0	0	0
2700	2.7	3.5235	59459.1	0	6446.67	6687.03	4707.92	0	221.917	0	8726.71	370.035	2284.8	0	0	0
2800	2.8	3.57347	60302.3	0	6596.93	6840.42	4629.1	0	211.586	0	8683.75	393.48	2329.37	0	0	0
2900	2.9	3.59439	60655.3	0	6676.72	6723.78	4654.32	0	209.828	0	8862.09	384.644	2348.34	0	0	0
3000	3	3.56405	60143.3	0	6827.95	6844.46	4918.51	0	181.079	0	8901.55	358.559	2328.95	0	0	0
3100	3.1	3.57291	60292.8	0	6612.67	6819.61	4853.95	0	191.33	0	8986.77	383.014	2331.8	0	0	0
3200	3.2	3.59055	60590.5	0	6474.28	6990.23	4533.97	0	269.628	0	8871.19	403.396	2342.88	0	0	0
3300	3.3	3.5871	60532.3	0	6697.93	6864.51	4692.34	0	216.355	0	8937.78	414.561	2328.04	0	0	0
3400	3.4	3.53154	59594.8	0	6660.06	6781.65	4822.75	0	230.982	0	8928.03	398.795	2343.58	0	0	0
3500	3.5	3.54547	59829.8	0	6614.41	6696.36	4533.71	0	243.646	0	8963.58	393.389	2290.79	0	0	0
3600	3.6	3.51871	59378.2	0	6624.03	6534.68	4790.34	0	180.449	0	8976.94	399.894	2313.04	0	0	0
3700	3.7	3.60216	60786.4	0	6709.29	6661.7	4943.75	0	169.195	0	9085.39	399.66	2338.08	0	0	0
3800	3.8	3.55302	59957.2	0	6825.6	6753.23	4990.66	0	183.53	0	9027.12	381.062	2328.21	0	0	0
3900	3.9	3.50713	59182.8	0	6678.32	6826.99	5011.57	0	244.025	0	8990.42	389.978	2282.89	0	0	0
4000	4	3.55969	60069.7	0	6600.65	6687.03	4800.42	0	200.124	0	8885.68	363.599	2365.36	0	0	0
4100	4.1	3.52643	59508.4	0	6489.56	6662.49	4825.63	0	169.318	0	8872.25	361.443	2312.12	0	0	0
4200	4.2	3.56091	60090.3	0	6559.06	6723.03	4741.91	0	156.902	0	8788.47	369.728	2294.49	0	0	0
4300	4.3	3.52703	59518.6	0	6378.21	6828.93	4808.69	0	231.023	0	8842.82	384.673	2315.87	0	0	0
4400	4.4	3.53284	59616.7	0	6546.66	6732.41	4730.99	0	192.497	0	8965.79	374.125	2299.28	0	0	0
4500	4.5	3.5462	59842.2	0	6557.41	6627.92	4658.35	0	214.125	0	9037.35	394.697	2337.03	0	0	0
4600	4.6	3.55555	59999.9	0	6622.12	6732.52	4753.83	0	208.554	0	9017.31	392.833	2338.21	0	0	0
4700	4.7	3.5188	59379.7	0	6646.79	6783.67	4845.69	0	192.924	0	8963.86	370.49	2363.3	0	0	0
4800	4.8	3.55636	60013.6	0	6340.65	6782.22	4934.51	0	205.781	0	9022.65	387.554	2323.45	0	0	0
4900	4.9	3.5373	59692	0	6683.77	6627.55	4829.55	0	184.49	0	8923.05	361.213	2313.06	0	0	0
5000	5	3.56398	60142.1	0	6754.56	6820.72	4805.79	0	190.095	0	8875.2	356.383	2319.54	0	0	0
5100	5.1	3.5825	60454.6	0	6705.23	6861	4872.79	0	216.113	0	8931.9	368.824	2294.08	0	0	0
5200	5.2	3.54993	59905	0	6794.13	6827.72	4988.54	0	237.434	0	9082.21	382.135	2312.01	0	0	0
5300	5.3	3.52335	59456.5	0	6589.28	6581.84	4882.79	0	180.935	0	9073.34	368.931	2299.22	0	0	0
5400	5.4	3.50894	59213.3	0	6688.34	6855.97	4874.58	0	232.567	0	9049.45	387.507	2270	0	0	0
5500	5.5	3.48632	58831.7	0	6860.38	6803.12	4898.03	0	209.214	0	9046.65	402.13	2328.67	0	0	0
5600	5.6	3.58023	60416.4	0	6415.83	6533.18	5119.29	0	224.809	0	9106.15	388.538	2272.6	0	0	0
5700	5.7	3.56693	60191.9	0	6469.89	6738.86	5036.61	0	272.165	0	9039.88	402.431	2341.89	0	0	0
5800	5.8	3.55533	59996.2	0	6456.62	6858.16	4816.78	0	215.642	0	8878.17	401.859	2300.45	0	0	0
5900	5.9	3.51093	59246.9	0	6504.31	6954.62	4922.72	0	204.971	0	8991.11	368.709	2284.74	0	0	0
6000	6	3.54844	59879.9	0	6451.13	6583.45	4750.43	0	265.384	0	9021.03	387.862	2353.96	0	0	0
6100	6.1	3.55089	59921.2	0	6654.69	6536.25	4900.65	0	181.577	0	8833.81	411.358	2311.51	0	0	0
