step	time	T	Ekin	res	lj	bond_2	bond_3_cross	bond_2_cross	angle_5_cross	angle_6_cross	angle_4_cross	dihedral_0_cross	dihedral_1_cross	lj-14_0_cross	lj-14_1_cross
0	0	0	0	0	-639.163	2571.18	4689.5	0	0	4752	4990.45	1305.22	0	0	0
100	0.1	1.64889	22260	0	-1768.76	2788.28	3922.39	0	0	4386.29	4467.31	1346.08	0	0	0
200	0.2	2.11316	28527.7	0	-1515.99	2826.16	4132.87	0	0	4505.98	4529.25	1396.16	0	0	0
300	0.3	2.31044	31191	0	-1082.91	3112.77	4391.87	0	0	4488.43	4657.8	1421.22	0	0	0
400	0.4	2.40484	32465.3	0	-903.219	3449.33	4294.35	0	0	4600.93	4830.17	1432.43	0	0	0
500	0.5	2.44905	33062.2	0	-818.075	3750.18	4408.02	0	0	4686.58	4886.17	1432.17	0	0	0
600	0.6	2.47484	33410.3	0	-825.247	3660.51	4513.62	0	0	4689.83	4919.65	1455.69	0	0	0
700	0.7	2.52457	34081.8	0	-735.399	3616.98	4359.68	0	0	4697.36	4959.48	1452.94	0	0	0
800	0.8	2.48931	33605.7	0	-779.781	3569.23	4592.36	0	0	4798.47	4936.11	1434.95	0	0	0
900	0.9	2.45987	33208.2	0	-693.211	3753.92	4521.12	0	0	4895.74	4875.79	1470.14	0	0	0
1000	1	2.49071	33624.6	0	-656.691	3854.58	4510.01	0	0	5003.12	4889.22	1467.94	0	0	0
1100	1.1	2.50595	33830.3	0	-808.687	3690.53	4504.05	0	0	5003.55	4965.33	1442.89	0	0	0
1200	1.2	2.48232	33511.4	0	-737.53	3702.9	4481.42	0	0	5064.34	4996.07	1426.58	0	0	0
1300	1.3	2.49015	33617	0	-566.46	3626.32	4312.07	0	0	5061.58	4941.92	1454.25	0	0	0
1400	1.4	2.52215	34049	0	-819.771	3811.38	4304.71	0	0	5053.17	4965.58	1456.18	0	0	0
1500	1.5	2.51084	33896.3	0	-729.597	3810.01	4357.94	0	0	5016.61	5035.5	1430.21	0	0	0
1600	1.6	2.45999	33209.9	0	-636.913	3804.68	4473.73	0	0	5022.92	5143.21	1454.98	0	0	0
1700	1.7	2.4827	33516.5	0	-704.324	3828.94	4443.96	0	0	4988.25	5155.38	1457.54	0	0	0
1800	1.8	2.49302	33655.8	0	-708.847	3907.41	4594.96	0	0	4948.51	5139.09	1449.65	0	0	0
