step	time	T	Ekin	res	lj	bond_2	bond_3_cross	bond_2_cross	angle_5_cross	angle_6_cross	angle_4_cross	dihedral_0_cross	dihedral_1_cross	lj-14_0_cross	lj-14_1_cross
0	0	0	0	0	-639.163	2571.18	4689.5	0	0	4752	4990.45	1305.22	0	0	0
100	0.1	1.61976	21866.7	0	-1745.12	2904.66	3864.21	0	0	4483.99	4425.93	1339.5	0	0	0
200	0.2	2.09237	28247	0	-1513.47	3022.41	4117.89	0	0	4660.77	4434.48	1383.04	0	0	0
300	0.3	2.27099	30658.4	0	-1197.25	3185.57	4182.71	0	0	4704.65	4487.26	1404.59	0	0	0
400	0.4	2.37858	32110.8	0	-940.766	3281.96	4246.31	0	0	4885.27	4626.39	1454.79	0	0	0
500	0.5	2.41126	32552.1	0	-853.471	3615.21	4392.07	0	0	4873.67	4711.17	1443.79	0	0	0
600	0.6	2.45878	33193.5	0	-850.659	3649.28	4448.36	0	0	4935.72	4674.45	1466.83	0	0	0
700	0.7	2.45214	33104	0	-855.804	3644.51	4386.09	0	0	5015.63	4719.46	1438.23	0	0	0
800	0.8	2.45163	33097	0	-805.56	3573.72	4469.12	0	0	5037.93	4745.27	1446.7	0	0	0
900	0.9	2.46963	33339.9	0	-835.119	3697.85	4327.48	0	0	5073.84	4710.9	1457.96	0	0	0
1000	1	2.48917	33603.9	0	-900.557	3752.53	4578.63	0	0	5114.47	4855.65	1443.33	0	0	0
1100	1.1	2.50315	33792.5	0	-836.436	3590.99	4552.14	0	0	5194.85	5011.84	1443.4	0	0	0
1200	1.2	2.46876	33328.3	0	-761.122	3798.27	4606.4	0	0	5033.9	5069.45	1444.99	0	0	0
1300	1.3	2.47324	33388.7	0	-923.587	3822.4	4540.47	0	0	5076.87	5062.26	1480.21	0	0	0
1400	1.4	2.46584	33288.8	0	-806.013	3887.01	4566.83	0	0	5077.08	5000.4	1454.66	0	0	0
1500	1.5	2.49746	33715.7	0	-820.331	3802.63	4591.38	0	0	5045.38	5021.1	1459.88	0	0	0
1600	1.6	2.46104	33224.1	0	-671.048	3742.12	4672.61	0	0	5066.5	5065.79	1422.33	0	0	0
1700	1.7	2.49258	33649.9	0	-721.187	3624.45	4613.39	0	0	5100.78	5074.4	1456.83	0	0	0
1800	1.8	2.4999	33748.7	0	-753.261	3765.19	4438.79	0	0	5110.27	5029.49	1476.63	0	0	0
1900	1.9	2.5656	34635.6	0	-644.609	3705.52	4412.25	0	0	5059.99	5058.37	1458.34	0	0	0
2000	2	2.50138	33768.6	0	-479.547	3794.81	4438.29	0	0	5122.07	5050.89	1517.72	0	0	0
2100	2.1	2.54046	34296.2	0	-560.846	3936.66	4421.72	0	0	5142.22	5078.97	1466.58	0	0	0
2200	2.2	2.54645	34377	0	-504.392	3830.8	4425.83	0	0	5065.7	5115.89	1451.9	0	0	0
2300	2.3	2.50557	33825.2	0	-404.151	3877.46	4474.55	0	0	5134.89	5031.51	1457.33	0	0	0
2400	2.4	2.51647	33972.4	0	-586.616	3833.96	4464.81	0	0	5095.37	4998.31	1446.86	0	0	0
2500	2.5	2.52821	34130.8	0	-585.088	3720.03	4490.42	0	0	5085.8	4945.34	1437.5	0	0	0
2600	2.6	2.55495	34491.9	0	-655.51	3802.92	4413.57	0	0	5124.56	5010.51	1460.54	0	0	0
2700	2.7	2.47971	33476.1	0	-686.487	3815.73	4546.61	0	0	5216.84	5021.03	1470.83	0	0	0
2800	2.8	2.54082	34301.1	0	-665.148	3694.42	4394.49	0	0	5131.75	5006.05	1449.51	0	0	0
2900	2.9	2.49533	33687	0	-579.573	3827.25	4357.81	0	0	5063.42	5030.36	1440.18	0	0	0
3000	3	2.51349	33932.1	0	-598.054	3906.44	4460.82	0	0	5099.8	5057.14	1458.55	0	0	0
3100	3.1	2.47851	33459.9	0	-666.688	3702.35	4621.41	0	0	5112.16	4968.43	1464.24	0	0	0
3200	3.2	2.48733	33579	0	-794.084	3732.54	4621.38	0	0	5154.01	4935.41	1466.95	0	0	0
3300	3.3	2.47798	33452.8	0	-736.411	3575.85	4547.14	0	0	5144.65	5141.02	1482.66	0	0	0
3400	3.4	2.48608	33562	0	-703.543	3590.3	4415.4	0	0	5052.99	5143.14	1452.49	0	0	0
3500	3.5	2.49767	33718.5	0	-642.29	3651.68	4342.97	0	0	5050.04	5064.46	1434.49	0	0	0
3600	3.6	2.46987	33343.3	0	-816.473	3749.94	4509.08	0	0	5156.36	5170.65	1474.36	0	0	0
3700	3.7	2.47137	33363.4	0	-761.831	3777.27	4629.25	0	0	5042.98	5085.68	1469.94	0	0	0
3800	3.8	2.52853	34135.1	0	-909.632	3754.05	4546.35	0	0	4952.43	5034.71	1461.69	0	0	0
3900	3.9	2.48858	33595.9	0	-767.971	3778.35	4499.19	0	0	4994.48	5102.93	1446.25	0	0	0
4000	4	2.46706	33305.3	0	-769.444	3730.27	4569.11	0	0	5102.43	5048.62	1445.74	0	0	0
4100	4.1	2.46001	33210.1	0	-821.735	3569.25	4339.88	0	0	5080.28	5125.17	1487.31	0	0	0
4200	4.2	2.46611	33292.4	0	-650.536	3695.11	4445.24	0	0	5129.46	5078.42	1478.18	0	0	0
4300	4.3	2.48847	33594.3	0	-759.771	3855.94	4422.48	0	0	5040.94	5134.33	1481.7	0	0	0
4400	4.4	2.46521	33280.4	0	-790.836	3867.45	4444.5	0	0	5045.28	5128	1471.19	0	0	0
4500	4.5	2.47026	33348.5	0	-855.481	3987.63	4466.25	0	0	4998.45	5047.39	1468.9	0	0	0
4600	4.6	2.49414	33670.9	0	-733.884	3759.79	4418.37	0	0	4864.65	5088.46	1473.51	0	0	0
4700	4.7	2.50309	33791.7	0	-658.661	3854.61	4483.12	0	0	4837.53	4942.19	1480.45	0	0	0
4800	4.8	2.45076	33085.3	0	-801.694	3799.3	4472.71	0	0	4895.86	5077.23	1473.26	0	0	0
4900	4.9	2.47811	33454.4	0	-814.666	3671.02	4391.89	0	0	4957.36	4951.35	1461.19	0	0	0
5000	5	2.47082	33356.1	0	-744.238	3597.47	4586.82	0	0	5039.39	5036.59	1446.89	0	0	0
5100	5.1	2.48154	33500.8	0	-604.244	3733.24	4604.37	0	0	5117.76	4996.95	1469.33	0	0	0
5200	5.2	2.45431	33133.2	0	-652.181	3648.14	4472.53	0	0	4940.45	5065.32	1449.55	0	0	0
5300	5.3	2.45295	33114.8	0	-703.507	3728.9	4393.18	0	0	5022	4942.51	1450.29	0	0	0
5400	5.4	2.44515	33009.6	0	-550.919	3612.41	4528.95	0	0	4984.26	4964.06	1464.87	0	0	0
5500	5.5	2.50137	33768.6	0	-615.579	3660.33	4628.61	0	0	4960.14	4948.89	1458.62	0	0	0
5600	5.6	2.50381	33801.4	0	-541.578	3617.78	4460.77	0	0	5011	4963.74	1487.84	0	0	0
5700	5.7	2.51643	33971.8	0	-525.447	3614.23	4389.09	0	0	4945.81	4972.23	1490.22	0	0	0
