step	time	T	Ekin	res	lj	bond_2	bond_3_cross	bond_2_cross	angle_5_cross	angle_6_cross	angle_4_cross	dihedral_0_cross	dihedral_1_cross	lj-14_0_cross	lj-14_1_cross
0	0	0	0	0	-639.163	2571.18	4689.5	0	0	4752	4990.45	1305.22	0	0	0
100	0.1	1.62132	21887.9	0	-1749.08	2896.47	3881.89	0	0	4439.18	4426.99	1338.25	0	0	0
200	0.2	2.06154	27830.9	0	-1540.36	2963.41	4086.73	0	0	4612.55	4623.59	1406.48	0	0	0
300	0.3	2.29813	31024.8	0	-1304.15	3060.36	4315.49	0	0	4704.46	4574.16	1395.39	0	0	0
400	0.4	2.3596	31854.6	0	-1050.66	3243.15	4374.53	0	0	4773.22	4726.06	1427.21	0	0	0
500	0.5	2.45088	33086.9	0	-984.625	3606.79	4330.15	0	0	4888.69	4746.3	1454.56	0	0	0
600	0.6	2.45935	33201.2	0	-917.392	3637.8	4449.78	0	0	4881.09	4709.44	1467.06	0	0	0
700	0.7	2.47386	33397.1	0	-822.201	3673.48	4365.73	0	0	4917.37	4888.62	1450.64	0	0	0
800	0.8	2.5165	33972.8	0	-793.248	3701.14	4386.99	0	0	4947.24	4940.52	1447.4	0	0	0
900	0.9	2.48544	33553.5	0	-655.033	3686.89	4457.29	0	0	5027.42	4883.91	1458.95	0	0	0
1000	1	2.45829	33186.9	0	-716.476	3754.15	4522.55	0	0	5067.11	4879.25	1437.92	0	0	0
1100	1.1	2.52923	34144.7	0	-892.451	3695.45	4471.83	0	0	5034.99	4970.71	1479.04	0	0	0
1200	1.2	2.46593	33290	0	-624.476	3709.69	4492.06	0	0	5028.98	5035.07	1464.87	0	0	0
1300	1.3	2.48749	33581.1	0	-758.028	3809.74	4533.67	0	0	4913.62	4936.88	1445.19	0	0	0
1400	1.4	2.47236	33376.9	0	-821.203	3619.05	4509.84	0	0	4948.23	4968.06	1473.67	0	0	0
1500	1.5	2.48375	33530.7	0	-776.734	3712.64	4431.42	0	0	4941.95	4958.65	1450.53	0	0	0
1600	1.6	2.48942	33607.1	0	-729.685	3807.91	4411.65	0	0	5011.15	5024.81	1465.43	0	0	0
1700	1.7	2.47389	33397.5	0	-772.688	3773.09	4404.36	0	0	4949.08	4936.69	1465.58	0	0	0
1800	1.8	2.47594	33425.1	0	-934.086	3630.7	4546.01	0	0	4984.63	4927.03	1494.04	0	0	0
1900	1.9	2.47181	33369.5	0	-962.158	3744.21	4513.82	0	0	5010.9	4976.16	1490.53	0	0	0
2000	2	2.4613	33227.5	0	-937.964	3777.83	4513.43	0	0	4942.2	4925.43	1456.75	0	0	0
2100	2.1	2.50447	33810.4	0	-896.183	3741.38	4538.27	0	0	4929.41	4889.95	1441.69	0	0	0
2200	2.2	2.55513	34494.3	0	-702.595	3836.42	4505.22	0	0	4993.16	4943.72	1465.59	0	0	0
2300	2.3	2.50012	33751.6	0	-859.752	3723.79	4594.23	0	0	4968.93	4949.6	1460.04	0	0	0
2400	2.4	2.49328	33659.3	0	-865.801	3663.74	4632.76	0	0	5031.4	5044.6	1454.4	0	0	0
2500	2.5	2.47348	33392	0	-724.041	3651.49	4367.28	0	0	5087.93	5015.07	1486.6	0	0	0
2600	2.6	2.50561	33825.7	0	-578.136	3629.37	4380.39	0	0	5000.34	4948.35	1448.73	0	0	0
2700	2.7	2.48755	33582	0	-497.242	3635.96	4424.8	0	0	4977.94	4931.63	1452.15	0	0	0
2800	2.8	2.51683	33977.3	0	-862.415	3474.06	4318.02	0	0	5043.13	4985.04	1480.24	0	0	0
2900	2.9	2.51374	33935.4	0	-748.353	3444.53	4437.55	0	0	5019.07	5040.83	1443.24	0	0	0
3000	3	2.47481	33410	0	-709.127	3408.74	4406.65	0	0	5103.87	4906.61	1455.22	0	0	0
3100	3.1	2.4863	33565.1	0	-778.401	3716.59	4458.04	0	0	4958.01	4945.84	1455.06	0	0	0
3200	3.2	2.50539	33822.7	0	-768.05	3663.48	4469.96	0	0	5019.83	4969.06	1446.92	0	0	0
3300	3.3	2.47481	33410	0	-616.923	3782.6	4491.68	0	0	4931.12	5046.15	1455.22	0	0	0
3400	3.4	2.49973	33746.3	0	-730.334	3740.06	4525.08	0	0	4893.56	4997.54	1449.17	0	0	0
3500	3.5	2.51157	33906.1	0	-699.73	3751.75	4619.96	0	0	4877.3	5156.62	1505.37	0	0	0
3600	3.6	2.49996	33749.4	0	-697.832	3590.92	4391.57	0	0	4866.04	5037.04	1456.23	0	0	0
3700	3.7	2.52011	34021.5	0	-903.347	3625.7	4498.77	0	0	4955.46	4913.1	1478.25	0	0	0
3800	3.8	2.5062	33833.6	0	-894.875	3833.99	4521.1	0	0	4907.87	4856.62	1491.09	0	0	0
3900	3.9	2.47641	33431.5	0	-992.395	3873.06	4460.74	0	0	4996.3	4804.85	1470.27	0	0	0
4000	4	2.45478	33139.5	0	-856.027	3799.22	4670.86	0	0	5004.3	4906.68	1499.72	0	0	0
4100	4.1	2.49595	33695.4	0	-817.771	3768.97	4551.71	0	0	5031.94	4938.57	1478.09	0	0	0
4200	4.2	2.50328	33794.2	0	-708.96	3712.87	4522.64	0	0	4883.04	4914.94	1472.52	0	0	0
4300	4.3	2.49883	33734.1	0	-697.283	3719.66	4606.63	0	0	4908.26	4949.8	1492.99	0	0	0
4400	4.4	2.51291	33924.3	0	-779.19	3785.68	4456.93	0	0	4978.79	5060.01	1466.08	0	0	0
4500	4.5	2.4871	33575.9	0	-691.931	3831.85	4466.31	0	0	4925.73	5045.97	1444.13	0	0	0
4600	4.6	2.48078	33490.6	0	-630.441	3708.55	4445.63	0	0	4840.36	5048.69	1417.7	0	0	0
4700	4.7	2.49924	33739.7	0	-740.949	3808.12	4564.01	0	0	4810.47	5030.94	1433.58	0	0	0
4800	4.8	2.47351	33392.4	0	-752.064	3850.73	4538.22	0	0	4912.84	4934.75	1472.8	0	0	0
4900	4.9	2.48719	33577.1	0	-644.306	3959.48	4563.37	0	0	4919.85	5031.82	1483.39	0	0	0
5000	5	2.5384	34268.4	0	-821.626	4037.77	4471.83	0	0	4851.25	4946.03	1488.46	0	0	0
5100	5.1	2.50038	33755.1	0	-795.3	3847.74	4575.37	0	0	4902.09	5017.68	1448.31	0	0	0
5200	5.2	2.50708	33845.5	0	-615.06	3747.6	4391.18	0	0	4943.92	4987.68	1472.15	0	0	0
5300	5.3	2.51839	33998.2	0	-768.1	3854.68	4394.59	0	0	5008.77	5032.08	1479.85	0	0	0
5400	5.4	2.49987	33748.3	0	-686.477	3876.75	4516.22	0	0	4915.96	5066.48	1452.16	0	0	0
5500	5.5	2.50396	33803.4	0	-819.383	3864.16	4434.17	0	0	4987.93	5077.53	1452.57	0	0	0
5600	5.6	2.48245	33513.1	0	-863.013	3810.97	4454.98	0	0	4969.35	4948.79	1456.15	0	0	0
5700	5.7	2.44408	32995.1	0	-837.995	3823.99	4478.77	0	0	4943.72	5021.08	1444.57	0	0	0
5800	5.8	2.49715	33711.5	0	-846.215	3828.06	4494.63	0	0	5009.93	5071.62	1444.81	0	0	0
5900	5.9	2.46153	33230.7	0	-814.143	3883.81	4669.88	0	0	5079.13	5097.03	1460.7	0	0	0
6000	6	2.48743	33580.3	0	-812.597	3635.75	4456.23	0	0	5004.98	5107.57	1457.12	0	0	0
6100	6.1	2.47439	33404.2	0	-749.184	3606.38	4650.4	0	0	5059.78	4972.75	1448.58	0	0	0
6200	6.2	2.47752	33446.6	0	-765.71	3715.39	4521.86	0	0	5066.93	4992.18	1460.71	0	0	0
6300	6.3	2.49428	33672.8	0	-707.753	3676.46	4453.9	0	0	5103.02	5010.65	1467.38	0	0	0
6400	6.4	2.46572	33287.3	0	-734.843	3739.17	4533.87	0	0	5080.97	4976.99	1485.89	0	0	0
