step	time	T	Ekin	res	lj	bond_2	bond_3_cross	bond_2_cross	angle_5_cross	angle_6_cross	angle_4_cross	dihedral_0_cross	dihedral_1_cross	lj-14_0_cross	lj-14_1_cross
0	0	0	0	0	-639.163	2571.18	4689.5	0	0	4752	4990.45	1305.22	0	0	0
100	0.1	1.65596	22355.5	0	-1722.96	2802.52	3903.05	0	0	4449.15	4535.59	1329.47	0	0	0
200	0.2	2.11429	28542.9	0	-1465.6	2899.65	4017.43	0	0	4652.51	4689.34	1398.68	0	0	0
300	0.3	2.30439	31109.2	0	-1125.08	3071.18	4307.11	0	0	4708.19	4700.41	1421.04	0	0	0
400	0.4	2.37201	32022.1	0	-976.62	3180.42	4223.49	0	0	4754.33	4897.79	1450.88	0	0	0
500	0.5	2.39719	32362.1	0	-772.316	3350.46	4402.72	0	0	4917.61	4936.55	1455.25	0	0	0
600	0.6	2.40799	32507.9	0	-702.187	3416.11	4476.83	0	0	4927.52	4982.36	1421.71	0	0	0
700	0.7	2.46595	33290.3	0	-739.822	3744.18	4433.39	0	0	4973.57	4957.03	1413.17	0	0	0
800	0.8	2.48689	33573.1	0	-721.543	3567.53	4327.39	0	0	4958.48	5032.54	1426.71	0	0	0
900	0.9	2.47513	33414.3	0	-799.399	3470.93	4433.36	0	0	4863.69	4978.94	1409.96	0	0	0
1000	1	2.51371	33935.1	0	-802.802	3619.6	4571.4	0	0	4854.9	5058.96	1431.25	0	0	0
1100	1.1	2.48999	33614.8	0	-755.608	3648.96	4520.65	0	0	4915.46	5062.17	1458.8	0	0	0
1200	1.2	2.50754	33851.8	0	-788.423	3649.94	4488.85	0	0	4945.68	5027.5	1442.24	0	0	0
1300	1.3	2.44905	33062.2	0	-728.929	3663.74	4519.69	0	0	4989.46	4997.92	1440.99	0	0	0
1400	1.4	2.42572	32747.2	0	-785.284	3594.8	4506.82	0	0	4940.37	4977.89	1431.76	0	0	0
1500	1.5	2.48472	33543.7	0	-786.156	3807.55	4439.44	0	0	5037.39	4887.45	1442.48	0	0	0
1600	1.6	2.49602	33696.3	0	-697.855	3960.02	4394.27	0	0	5091.36	5053.9	1463.61	0	0	0
1700	1.7	2.46942	33337.2	0	-706.133	3937.68	4394.1	0	0	5119.58	5027.01	1455.34	0	0	0
1800	1.8	2.46023	33213.1	0	-721.55	3826.33	4498.85	0	0	5067.08	5034.21	1451.37	0	0	0
1900	1.9	2.48401	33534.2	0	-726.721	3726.44	4458.72	0	0	5150.34	4968.75	1453.64	0	0	0
2000	2	2.51659	33974	0	-743.999	3580.97	4586.5	0	0	5050.97	5036.6	1454.46	0	0	0
2100	2.1	2.52083	34031.2	0	-789.127	3590.31	4599.79	0	0	5082.22	4982.57	1472.84	0	0	0
2200	2.2	2.52194	34046.2	0	-832.768	3655.63	4629.82	0	0	5061.11	5014.9	1438.87	0	0	0
2300	2.3	2.49004	33615.5	0	-821.38	3617.48	4570.4	0	0	5089.65	5079.73	1465.16	0	0	0
2400	2.4	2.50696	33844	0	-889.541	3674.9	4630.74	0	0	5040.62	5021.72	1439.65	0	0	0
2500	2.5	2.49898	33736.2	0	-750.812	3685.73	4460.75	0	0	5049.14	5035.98	1445.36	0	0	0
