step	time	T	Ekin	res	lj	bond_2	bond_3_cross	bond_2_cross	angle_5_cross	angle_6_cross	angle_4_cross	dihedral_0_cross	dihedral_1_cross	lj-14_0_cross	lj-14_1_cross
0	0	0	0	0	-639.163	2571.18	4689.5	0	0	4752	4990.45	1305.22	0	0	0
100	0.1	1.64071	22149.6	0	-1729.03	2928.19	3879.52	0	0	4448.43	4399.75	1337.53	0	0	0
200	0.2	2.07565	28021.3	0	-1481.92	3002.22	4096.29	0	0	4612.51	4626.29	1349.07	0	0	0
300	0.3	2.24768	30343.7	0	-977.506	3215.65	4393.71	0	0	4779.76	4747.89	1415.37	0	0	0
400	0.4	2.34942	31717.2	0	-959.463	3308.23	4419.24	0	0	4832.89	4799.06	1433.75	0	0	0
500	0.5	2.43239	32837.3	0	-790.088	3597.66	4440.9	0	0	4932.55	4713.73	1460.36	0	0	0
600	0.6	2.46496	33277	0	-861.421	3648.28	4449.45	0	0	4940.88	4879.86	1460.02	0	0	0
700	0.7	2.48538	33552.6	0	-878.539	3657.75	4466.89	0	0	4963.94	5006.1	1453.31	0	0	0
800	0.8	2.49372	33665.3	0	-851.481	3696.92	4460.73	0	0	4968.36	4896.87	1458.99	0	0	0
900	0.9	2.49411	33670.5	0	-848.429	3738.98	4484.42	0	0	5030.38	4848.12	1436.16	0	0	0
1000	1	2.49771	33719.1	0	-842.089	3615	4420.87	0	0	4995.5	4898.46	1451.1	0	0	0
1100	1.1	2.52896	34141	0	-735.133	3797.3	4429.86	0	0	4964.53	5008.03	1472.06	0	0	0
1200	1.2	2.47992	33478.9	0	-522.102	3790.47	4493.53	0	0	4942.44	5017.75	1484.2	0	0	0
1300	1.3	2.4797	33476	0	-734.598	3788.84	4612.45	0	0	5104.9	5025.77	1492.94	0	0	0
1400	1.4	2.48041	33485.5	0	-816.447	3688.92	4495.75	0	0	5118.81	5012.03	1483.67	0	0	0
1500	1.5	2.51039	33890.3	0	-622.425	3832.3	4429.12	0	0	5151.5	4992.48	1462.89	0	0	0
1600	1.6	2.50564	33826.1	0	-633.9	3707.81	4555.97	0	0	5064.8	5047.64	1488.98	0	0	0
1700	1.7	2.51988	34018.4	0	-540.056	3606.45	4472.1	0	0	4988.05	5069.75	1501.95	0	0	0
1800	1.8	2.47484	33410.4	0	-537.137	3525.09	4459.64	0	0	4996.25	5004.31	1456.09	0	0	0
1900	1.9	2.49864	33731.7	0	-612.527	3660.17	4445.92	0	0	5047.02	5025.21	1485.77	0	0	0
2000	2	2.4961	33697.4	0	-562.133	3669.32	4412	0	0	4983.04	5098.1	1487.97	0	0	0
2100	2.1	2.49492	33681.4	0	-757.064	3781.37	4450.9	0	0	5008.37	5129.27	1482.41	0	0	0
2200	2.2	2.49555	33689.9	0	-690.504	3758.83	4505.37	0	0	4903.25	5049.6	1485.7	0	0	0
2300	2.3	2.47889	33465	0	-626.684	3766.54	4518.13	0	0	5017.57	5055.58	1473.71	0	0	0
2400	2.4	2.51895	34005.9	0	-758.906	3699.06	4401.01	0	0	4964.32	5043.9	1462.07	0	0	0
2500	2.5	2.50986	33883.1	0	-663.131	3735.23	4341.34	0	0	5016.48	5086.71	1464.7	0	0	0
2600	2.6	2.51805	33993.7	0	-700.174	3747.17	4459.42	0	0	5022.11	5062.13	1480.35	0	0	0
